Artist_ID,Name,Genres,Popularity
3ttL1bFqAXXtJcKvhsYqOD,Bass Outlaws,"bass music, miami bass",17
3WwTmVeZgYl5b6ZgGUGizV,The Dogs,"bass music, miami bass",14
20Yg9gqsN4nSGc8sGStkOx,Slag Boom Van Loon,"acid idm, deep idm, drill and bass, intelligent dance music",18
5AI5iPHuNUVlEslVmieV2K,Audiolab,bass music,21
3jWWGxaQvZ6r3pT7ILO3cn,DJ Billy-E,bass music,16
4EHm2LKZceC5KcblvQ6Dbq,Doormouse,"breakcore, drill and bass, intelligent dance music",16
1uPgPWiQwfIy7R9rQWzryc,DJ Ice Man J,"bass music, miami bass",18
3ONB8c9eyu1PDUkACtbd3I,Rockford Fosgate,bass music,17
3FPr2kgOVTHdeKrnYAKRCz,Bola,"abstract, deep idm, drill and bass, intelligent dance music",17
3uU2lYMT5jeHqa9hqvuVcY,DJ Droppin',"bass music, miami bass",12
1nCsoSFLvAhqQ6mv4g2rgF,Bass Boy and Techmaster P.E.B.,"bass music, miami bass",12
6ZYOrTXjWodrWyCuxGY5Yx,Jega,"abstract, deep idm, drill and bass, intelligent dance music",16
6ZULITXmOFWJwJKilsFRm7,Datach'i,"braindance, breakcore, deep idm, drill and bass, flashcore, intelligent dance music, modular synth",15
0tlUO1Knc9iVtp8jGpREnV,Kid Spatula,"acid idm, breakcore, deep idm, drill and bass, intelligent dance music",14
5Rt7HrXBwjfsqE3lydEX4I,DJ Billy E,"bass music, miami bass",11
0PN3ekPGmEflFl4srXX9qg,Kid Sensation,"bass music, miami bass, seattle hip hop",10
1COQq82EhXTBcIc69FhE1T,Dynamix II,"bass music, electro, miami bass",11
27XvODnKRV3mGBOGOlU3Vx,Ron C,"bass music, dirty texas rap, miami bass",9
4GELr4GU5inBcvzDntZhvv,Richard Devine,"deep idm, drill and bass, flashcore, glitch, intelligent dance music, modular synth",14
2bwXaMlcBgLaYbRMIWirei,Mad Mike,"bass music, techno",13
1Xdbm8tv6y54cJVkdVtqWT,Maggotron,"bass music, electro, miami bass, old school hip hop",11
0F0tU9bJNyuD5wzlqM92X6,Professors Of Funk,"bass music, miami bass",11
66ykHXqdZKX96uadBJTPyn,Bass Syndicate,"bass music, miami bass",11
4UfwdO50KlbDGkW7FIRAMS,Bass Extreme and Techmaster P.E.B.,"bass music, miami bass",12
6waoL4vUG9aT5NTWlhF68u,Beat Dominator,bass music,11
5oFKPoNOTf3S88SLkjANmI,Bass Cube,"bass music, miami bass",10
2h3QvaJW4r5FLrnJ6m2mIz,Bass boy,"bass music, miami bass",10
3JX6XUffN4lgNvVULyYgnD,MC Nas-D,"bass music, miami bass",8
5m6vkX6xcCQm4OnnPXFlyw,The Boys From The Bottom,"bass music, miami bass",9
4fetIKaHxaRTTzTrOCr7QX,Quadrant Six,"bass music, electro, miami bass",8
7MTVlE5MFeIClfw5Zf2XoV,Abfahrt Hinwil,"ambient idm, deep idm, drill and bass, intelligent dance music",14
7dJoiDu6p9jcAESCcRYU0z,Brothomstates,"abstract, deep idm, drill and bass, finnish experimental, intelligent dance music",12
1Pj9T2fSreale2XBVupWFs,Bass Extreme,bass music,11
47bdacU3Npll6BaknGp6dE,Gigolo Tony,"bass music, miami bass",10
1EWpmAeGgHme81HG1j5sGe,Cex,"breakcore, deep idm, drill and bass, intelligent dance music",9
18Lal2s3R2e7UH3iB5Vpbf,Trigga Man,"atlanta bass, bass music, miami bass",8
2gwmiNWrlFicZH53oQtPH5,D.J. Magic Mike,"bass music, miami bass",8
3FJQ5pXR8QMsR9zzzLk09T,Gimmik,"ambient idm, deep idm, drill and bass, intelligent dance music",13
7nJOgwk9WTxmBSYU8xpY7E,Vicious Bass,"bass music, miami bass",5
39bZn2ns4Oe1NTrjwnSQ0K,DJ Fury,"bass music, miami bass",6
4K9tGGFyw0Rab8akZVBMQR,Funkstörung,"deep idm, drill and bass, glitch, intelligent dance music, munich electronic",11
15gVTrdUtcXOz3utK1GPp2,Gescom,"abstract, abstract idm, deep idm, drill and bass, intelligent dance music",10
0Li1NnItMz6nHmW1rHS744,Hrvatski,"abstract, breakcore, deep idm, drill and bass, intelligent dance music",8
5TewiFccpEmrnOCoEwM8Nz,HzMP3,bass music,9
7CNHvKYhPh69iIKxWkxs5S,Wisp,"acid idm, breakcore, deep idm, drill and bass, intelligent dance music",7
6NViZBhi8jvI1ZOoxJdGwO,Bass Boosted,bass music,8
2kCI0X17cv5SU6LFqH6Gbk,Success-N-Effect,"bass music, miami bass, old school atlanta hip hop",5
3Etch1hIuLCiF16SOnJEz5,Techno Bass Crew,"bass music, miami bass",6
5uxXAnpPUXwoNW7WCFFWyi,Debonaire,"bass music, electro, miami bass, nu electro",7
1zcFo7w8LMgETQs2HKuQuV,Bass Inc.,"bass music, miami bass",6
4MLnMIkZokbkbkKw9kVvTO,Megatrons,"bass music, miami bass",6
5lcGJ5yMMZr5IJPGvy7JEO,Maggotron Crushing Crew,"bass music, miami bass",5
36UhJkDwmtbAab2MBs2irx,Bassman,bass music,11
4HGuFCXk1BeLPO5lJwifBc,Bass Boy,"bass music, miami bass",9
0LeULHvi1977JIDXKWqjEW,Global Goon,"acid idm, braindance, deep idm, drill and bass, intelligent dance music",8
1PAcplmqpcxGWlxa9067MQ,B.O.S.E.,"bass music, electro, miami bass",5
6LqalYaobzMJX0k6ezJenf,Miami Boyz,"bass music, miami bass",5
4fwCp2IDhodTxsySBFY6sj,Phoenecia,"deep idm, drill and bass, intelligent dance music",7
0QfXxdOZ8el4XntTloSrVQ,B.A.S.S.,bass music,6
40yS5szgzflPEJYj60aAXy,Lackluster,"ambient idm, deep idm, drill and bass, finnish electronic, intelligent dance music",6
1V5EaRAajo5rdDizdZkOaf,Bass Junkie,"bass music, electro, miami bass, nu electro",5
0cw1WUJfGnqX6D5b4amrjy,Dynamik Bass System,"bass music, bboy, electro, miami bass, nu electro",7
4r16duCSjZhsl2OREbiaak,Bass Waves,"bass music, miami bass",3
7jkvEAjPVEHqis2cvNofrW,Clay D & The New Get Funky Crew,"bass music, miami bass",3
40prVKLFJs5iry62ja5sJY,Knights Of Bass and Techmaster P.E.B.,"bass music, miami bass",3
0sDgKTb8UsUSRONOaMDhD5,Bass Launch,"bass music, miami bass",4
2AFj4H7W9alNrdcl5Lk4XW,Crazy L'Eggs,"bass music, miami bass",3
5bMukNcgUgUNC7ixBR2qUa,Knightz Of Bass,"bass music, bboy, miami bass",9
733Htf61yHXVzmN8lL3cnS,DJ Fury,"bass music, miami bass",5
3nEL9Ylglfn3CY6CbWZx11,D'Arcangelo,"acid idm, deep idm, drill and bass, intelligent dance music",7
4kBCVjnnJuXXoUpsZEkHzA,Bass Boys,bass music,0
7la1fYsnMmcFpdqCS7uz7Q,Beat Mafia,bass music,0
2WGknhjRAJ4QvOJsfM7j2C,Bass Tech DXJ,bass music,1
2gJZQTKXNTp1W2sr7XSFqX,Bass Gangsters,bass music,0
6FQfIxcj10nN7tkINPkUYi,Bass Poets,bass music,0
2R6UwlQnnMy3o73c6AUMw7,Dial 9,bass music,0
52fLvwlTV1ndZlHR88PRHt,Bassman & DJ Lace,bass music,0
01SqETdPGDRZcIJlQvmj2P,Bass Alien,bass music,0
4NHfZXbYhdDBJKckj1vVhl,Get Fresh Girls,"bass music, miami bass",4
45o8Q6uOZ1z1KlLV5tVIcV,Last Step,"acid idm, breakcore, deep idm, drill and bass, intelligent dance music",4
0qIrx0eapHm0j8PLiuVK0g,Bass Town,bass music,1
3vftLuvlOQZnj8mxYKnt10,Gangsta Bass Alliance,"bass music, miami bass",0
1L1y40Vp1M33SkeXUkhBjW,D.J. Deep and Techmaster P.E.B.,bass music,1
1QZRtmmbA8piVWaj4cC4jg,Dis N Dat Band,"bass music, miami bass",0
2hkukl5UvwJl5lozpQmrnK,Eurobass Express,bass music,0
5ZDDUjpJUCDgvuvzoX09e7,Bass Unlimited,"bass music, miami bass",1
1IzSQDmUxPN4M9fEcTBbRv,Bass Funk,bass music,1
0iGFpF8sv3bjIyfcFXA5Cb,Bass Ryder,"bass music, miami bass",0
1rDlyE4XoV7Ouh1zF8YuP0,Bass 2001,"bass music, miami bass",0
06VzJOCRTjjfAN9xad5eun,14 Hz,bass music,0
4T9URZppifKxV7C1bIRCcn,Bass Transmission,"bass music, miami bass",1
7irlD3Tl3echtvaQaoXfqc,D.J. Magic Mike and the Royal Posse,"bass music, miami bass",0
2dDiOWHGv6Su3rPVQpvWPJ,Marcelo Maia,"electric bass, musica goiana",1
1yWFMWYL8pGXm2mGrxcmM9,2 Bmf,"bass music, miami bass",1
1wuEJIrulNjVOYUtY7vNDU,Food For Woofers,"bass music, miami bass",1
5E4L1NweT8n1oYHRSY2H3v,Innovative Bass Collection,bass music,2
6vRlUyhmN1GnQir6TdOxZ9,Debonaire Allstars,"bass music, miami bass",0
6llokrrAI9RGN9DNIOfvg1,Bass Junkies,bass music,2
2BJcXnHmSWkNLwYAr6MhyD,Bass Enigma,bass music,0
1DwvCKKX1zD3P31vMiyamf,Emotional Joystick,"breakcore, drill and bass, intelligent dance music",2
6ALrdoToCHEhqZb18gMNI4,Streetbeat Krew,bass music,0
09Qe9UNqyf3QevsAi3sqQ5,Bass Patrol Angels,"bass music, miami bass",1
4QnAus8dEYNSB2L3FLsZFN,Freak Mc Nasty,"bass music, miami bass",0
1oyS8ASU0bUxvQBrnRIXrV,Bass Outlaws and Techmaster P.E.B.,"bass music, miami bass",1
4TTGK7m9Z2LvPmu6s7GjNy,Techmaster P.E.B. and D.J. Magic Mike,bass music,0
6VtbmQ2cYK6X0g8b6UIedd,Sexy C,"bass music, miami bass",0
4AwHS2xnlDSMX79WtLd1dq,M.C.A.D.E.,"bass music, miami bass",0
1nMwDXkxIZ0hCSoaJkI9oH,Bass Tube,bass music,0
17jc0pOWRnZMppny74JDnN,Get It Boyz,bass music,0
0RQyXhrgqbDQ0gz2D7poaB,Bass Daddy,"bass music, miami bass",0
0KdC7enDKSJG8uMdq0dpx2,Cosmic Conspiracy,bass music,0
2shFgsm87Slp5onWZDLyAd,Trypnotic,bass music,0
4iyxx9shgCWgA3l4pSBCQM,Bass Automator,"bass music, miami bass",3
0YJWnA5bxyUjIcYx4gETfe,Underground Bass Masters,bass music,1
58MTcGN9S7RbkbXX036YSm,Mega Jon Bass,"bass music, miami bass",2
4yjlJlvX0AnhVlYtEdPtPZ,Bass Apocalypse,bass music,1
1kxXOmP1aUSkGdl753M3r3,B.A.S.S.,bass music,0
2fkKDhlMT9BSy91w1qM05b,Beat Mafia,bass music,0
6ND94VLtPahZDxgve7COXp,Bass Trip,"bass music, miami bass",1
4aul9E0JARDiDatiQVImGv,Maggozulu Too,"bass music, miami bass",1
6OcBXb0UEKGWc5rVuqTm9P,Clay D,"bass music, miami bass, old school atlanta hip hop",2
770tTr1S1qFl0PvLz70gil,Bass Citation,bass music,0
35QLfnSC0WISKBYMP9WS0l,Digital Love Muscle,bass music,0
5rUtGvccrn1m7zJXKJ5Kiz,Bass Rave,bass music,0
6fGb0Lgysv9twPdhYDqLfV,Get Some Crew,"bass music, miami bass",0
1UWdFGKoIV8LOyqVey5mFI,Bass Factor,bass music,0
4XhUd4hicfmfsXuQkBM8np,Knights Of Bass,"bass music, miami bass",2
7aP3rBjHIPabDwWX9IV6uO,Basswerk,bass music,0
1lvLRqm7z7XrZcnmEqdsyi,The Bass Project,bass music,0
1etK2UpO8GH9ZhxFFz3I46,Basskraft,bass music,1
6CyHG5d9R8g8YT6vTymSea,Bass Tribe,"bass music, miami bass",1
08YZVYTnsixS2F8CkVKg7h,Bass Factory 808,"bass music, miami bass",1
6i8uF1C792hBj9KoHOZhYy,Bass Bombers,bass music,0
4QppgHMEqOvckh9KcbMFRg,Def Bass Krew,bass music,2
5UTFPlhwrjI0uryIo3PQL7,DJ E Reddi,bass music,0
4BOIOTy1DpY0iDopyIacgw,Senhor De Baixo,bass music,2
3oQLRwmUBTH3fdyHxnsp6j,Uncle Al,"bass music, miami bass",0
7jLCLI28f2b6JqeSzsdKZy,Bass One,bass music,0
7JSzI1ggpL3P45Jue9GI66,Nightmare on Bass Street,bass music,0
0qEG1wWGpvwTuLGhFKgdse,12 Guage,"bass music, miami bass",0
3y61Qg9rhr74PXUeBZvw93,Bass Addiction,"bass music, miami bass",2
5HgdFYmpkM1swqw5cjV8oz,808XS,"bass music, miami bass",0
4rJhhh0fMsHN4OWtsFXrDo,Autonomous Bass Heads,"bass music, nu electro",1
3mHeSSVMBh97DwQ77wgsQy,DJ Lazz,"bass music, miami bass",0
1c3z4alieoTRLjaWkIVf19,World Bass Federation,bass music,0
6J6zhNe3ycOcHasK22Xzal,MC Shy D & tha-Rhythum,"bass music, electro, miami bass",0
4JQEjdVurkhORpQ7rEjRbO,Bass Masters,bass music,0
6qlcO7nJ6kmD4Exf8M058t,Boom Q,bass music,0
6boYQSJjWhHIFBAY7pxbj6,Bass Master A.C.E.,bass music,0
